,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
Unnamed: 0,Apapane,Hawaii_Elepaio,Kalij_Pheasant,Northern_Cardinal,Omao,Warbling_White_eye,Black_necked_Stilt,Cattle_Egret,Hawaii_Amakihi,House_Finch,Pacific_Golden_Plover,Spotted_Dove,Red_crested_Cardinal,Black_crowned_Night_Heron,Black_Noddy,Cackling_Goose,Chestnut_Munia,Common_Gallinule,Common_Myna,Green_winged_Teal,Great_Frigatebird,Hawaiian_Coot,Hawaiian_Duck,Hawaiian_Goose,Japanese_Bush_Warbler,Laysan_Albatross,Chinese_Hwamei,Northern_Pintail,Northern_Shoveler,Scaly_breasted_Munia,Red_footed_Booby,Red_tailed_Tropicbird,Ring_necked_Duck,Ruddy_Turnstone,Western_Meadowlark,White_rumped_Shama,White_tailed_Tropicbird,Zebra_Dove,Sanderling,Short_eared_Owl,Wandering_Tattler,Mallard_x_Hawaiian_Duck__hybrid_,Iiwi,Red_Junglefowl,Wedge_tailed_Shearwater,African_Silverbill,House_Sparrow,Yellow_billed_Cardinal,Bristle_thighed_Curlew,Java_Sparrow,Long_billed_Dowitcher,Sharp_tailed_Sandpiper,Gray_Francolin,Laughing_Gull,Lesser_Scaup,Mallard,Muscovy_Duck_x_Mallard__hybrid_,Yellow_fronted_Canary,Eurasian_Skylark,American_Wigeon,Saffron_Finch,Brown_Booby,Red_vented_Bulbul,Rock_Pigeon,White_Tern,Erckel_s_Spurfowl,Hawaiian_Hawk,Northern_Mockingbird,Red_billed_Leiothrix,Common_Waxbill,Muscovy_Duck,Red_whiskered_Bulbul,Rose_ringed_Parakeet,Oahu_Amakihi,Ring_necked_Pheasant,Red_Avadavat,Least_Tern,Wild_Turkey,Black_Francolin,Eurasian_Wigeon,Greater_White_fronted_Goose,Mourning_Dove,Pectoral_Sandpiper,White_faced_Ibis,Red_masked_Parakeet
train1,0,0,0,1,0,0,28,10,0,4,30,25,0,0,0,1,0,0,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,75,8,0,12,0,0,0,0,8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0
train2,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train3,0,0,0,1,0,2,35,1,0,1,5,0,1,1,0,0,0,0,10,0,0,25,0,0,0,0,0,20,12,0,0,0,0,8,0,0,0,7,10,0,3,0,0,0,0,0,6,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train4,0,0,0,4,0,5,0,0,0,5,0,0,3,0,0,0,12,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
train5,0,0,0,4,0,17,0,5,0,6,0,5,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3,0,7,0,0,0,0,4,0,0,0,0,32,0,0,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0
train6,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
train7,0,0,0,2,0,12,0,0,0,8,0,4,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
train8,0,0,0,2,0,1,0,1,0,2,4,11,3,0,0,0,40,0,20,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
train9,0,0,0,0,0,0,8,8,0,4,35,2,2,1,0,0,0,2,18,0,0,27,0,0,0,0,0,23,15,0,0,0,0,66,0,1,0,22,0,0,0,21,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
train10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
